Program,Slot,Date,Start Time,End Time,Course Code,Course Title,Students,Faculty,Faculty_Full,Faculty_Code,Start_Time,End_Time,Exam_Location
C,Slot - K,2025-08-15,09:00:00,10:30:00,ETE281.15,Communication Theory,41,[SUSN] Sumaiya Salekin,Sumaiya Salekin,SUSN,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,MAT161.2,Coordinate Geometry and Vector Analysis,38,[GM] Golam Mostafa,Golam Mostafa,GM,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,MAT161.3,Coordinate Geometry and Vector Analysis,36,[GM] Golam Mostafa,Golam Mostafa,GM,09:00:00,10:30:00,C - Slot - K
C,Slot - K,2025-08-15,09:00:00,10:30:00,MAT161.4,Coordinate Geometry and Vector Analysis,39,[GM] Golam Mostafa,Golam Mostafa,GM,09:00:00,10:30:00,C - Slot - K
D,Slot - L,2025-08-15,11:30:00,13:00:00,CSE241.22,Data Structures,35,[LYPY] Lubna Yasmin Pinky,Lubna Yasmin Pinky,LYPY,11:30:00,13:00:00,D - Slot - L
D,Slot - L,2025-08-15,11:30:00,13:00:00,CSE375.4,Advanced Algorithm,37,[ASHI] Mohammad Ashraful Islam,Mohammad Ashraful Islam,ASHI,11:30:00,13:00:00,D - Slot - L
D,Slot - L,2025-08-15,11:30:00,13:00:00,CSE471.4,Web and Internet Programming,37,[AHS] Ashek Seum,Ashek Seum,AHS,11:30:00,13:00:00,D - Slot - L
D,Slot - L,2025-08-15,11:30:00,13:00:00,EEE241.17,Electronic Devices & Circuits I,34,[SAMI] Sharika Manjuma Islam,Sharika Manjuma Islam,SAMI,11:30:00,13:00:00,D - Slot - L
D,Slot - L,2025-08-15,11:30:00,13:00:00,MAT141.16,Differential & Integral Calculus,31,[DTKD] Dr. Taposh Kumar Das,Dr. Taposh Kumar Das,DTKD,11:30:00,13:00:00,D - Slot - L
D,Slot - L,2025-08-15,11:30:00,13:00:00,MAT161.11,Coordinate Geometry and Vector Analysis,33,[MDH] Md. Mojaammel Haque,Md. Mojaammel Haque,MDH,11:30:00,13:00:00,D - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,CSE361.2,Operating Systems,29,[ABAH] Abid Ahmad,Abid Ahmad,ABAH,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,CSE361.3,Operating Systems,33,[ABAH] Abid Ahmad,Abid Ahmad,ABAH,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT161.5,Coordinate Geometry and Vector Analysis,40,[SHR] Md. Sarowar Hossain Rana,Md. Sarowar Hossain Rana,SHR,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT161.6,Coordinate Geometry and Vector Analysis,34,[SHR] Md. Sarowar Hossain Rana,Md. Sarowar Hossain Rana,SHR,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT161.7,Coordinate Geometry and Vector Analysis,39,[SHR] Md. Sarowar Hossain Rana,Md. Sarowar Hossain Rana,SHR,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT241.2,Complex Variables and Transforms (Laplace & Fourier),40,[SAMD] Shifat Ahmed,Shifat Ahmed,SAMD,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT241.3,Complex Variables and Transforms (Laplace & Fourier),40,[SAMD] Shifat Ahmed,Shifat Ahmed,SAMD,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT241.4,Complex Variables and Transforms (Laplace & Fourier),40,[SAMD] Shifat Ahmed,Shifat Ahmed,SAMD,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT241.11,Complex Variables and Transforms (Laplace & Fourier),23,[SHR] Md. Sarowar Hossain Rana,Md. Sarowar Hossain Rana,SHR,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT241.12,Complex Variables and Transforms (Laplace & Fourier),39,[SHR] Md. Sarowar Hossain Rana,Md. Sarowar Hossain Rana,SHR,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT241.13,Complex Variables and Transforms (Laplace & Fourier),41,[SHR] Md. Sarowar Hossain Rana,Md. Sarowar Hossain Rana,SHR,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT261.7,Linear Algebra and Matrices,40,[SAMD] Shifat Ahmed,Shifat Ahmed,SAMD,11:30:00,13:00:00,C - Slot - L
C,Slot - L,2025-08-15,11:30:00,13:00:00,MAT261.9,Linear Algebra and Matrices,41,[SAMD] Shifat Ahmed,Shifat Ahmed,SAMD,11:30:00,13:00:00,C - Slot - L
D,Slot - M,2025-08-15,14:30:00,16:00:00,CSE263.13,Digital Logic Design,35,[MHZ] Md. Zahid Hossain,Md. Zahid Hossain,MHZ,14:30:00,16:00:00,D - Slot - M
D,Slot - M,2025-08-15,14:30:00,16:00:00,CSE341.11,Computer Networking,42,[DRAT] Dr. Ashis Talukder,Dr. Ashis Talukder,DRAT,14:30:00,16:00:00,D - Slot - M
D,Slot - M,2025-08-15,14:30:00,16:00:00,CSE345.9,Information System Design & Software Engineering,26,[AKMA] A. K. M. Ahsanul Haque,A. K. M. Ahsanul Haque,AKMA,14:30:00,16:00:00,D - Slot - M
D,Slot - M,2025-08-15,14:30:00,16:00:00,CSE4013.1,Computer Graphics and Animation,3,[RZC] Md. Reasad Zaman Chowdhury,Md. Reasad Zaman Chowdhury,RZC,14:30:00,16:00:00,D - Slot - M
D,Slot - M,2025-08-15,14:30:00,16:00:00,CSE443.2,Computer Graphics & Animation,34,[RZC] Md. Reasad Zaman Chowdhury,Md. Reasad Zaman Chowdhury,RZC,14:30:00,16:00:00,D - Slot - M
D,Slot - M,2025-08-15,14:30:00,16:00:00,SOC341.10,Engineering Ethics,41,[MEK] Mohammad Enamul Kabir,Mohammad Enamul Kabir,MEK,14:30:00,16:00:00,D - Slot - M
D,Slot - M,2025-08-15,14:30:00,16:00:00,STA281.18,Statistical Methods & Probability,40,[DMAA] Dr. Md. Ayub Ali,Dr. Md. Ayub Ali,DMAA,14:30:00,16:00:00,D - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,CSE363.2,Microprocessor Design & Assembly Language Programming,42,[RADT] Radiathun Tasnia,Radiathun Tasnia,RADT,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,CSE363.3,Microprocessor Design & Assembly Language Programming,42,[SSSV] Shuvashis Sarker Shuvo,Shuvashis Sarker Shuvo,SSSV,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,ETE281.9,Communication Theory,41,[MMRF] Md. Mushfiqur Rahman Fakir,Md. Mushfiqur Rahman Fakir,MMRF,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT141.15,Differential & Integral Calculus,39,[SAMD] Shifat Ahmed,Shifat Ahmed,SAMD,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT241.5,Complex Variables and Transforms (Laplace & Fourier),39,[MALN] Md Alamin,Md Alamin,MALN,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT241.6,Complex Variables and Transforms (Laplace & Fourier),30,[MALN] Md Alamin,Md Alamin,MALN,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT241.7,Complex Variables and Transforms (Laplace & Fourier),40,[MALN] Md Alamin,Md Alamin,MALN,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT241.8,Complex Variables and Transforms (Laplace & Fourier),41,[MTK] Md. Tamim Khandakar,Md. Tamim Khandakar,MTK,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT241.9,Complex Variables and Transforms (Laplace & Fourier),41,[MTK] Md. Tamim Khandakar,Md. Tamim Khandakar,MTK,14:30:00,16:00:00,C - Slot - M
C,Slot - M,2025-08-15,14:30:00,16:00:00,MAT241.10,Complex Variables and Transforms (Laplace & Fourier),38,[MTK] Md. Tamim Khandakar,Md. Tamim Khandakar,MTK,14:30:00,16:00:00,C - Slot - M
D,Slot - N,2025-08-15,16:30:00,18:00:00,CSE181.20,Discrete Mathematics,36,[FBH] Md. Ferdous Bin Hafiz,Md. Ferdous Bin Hafiz,FBH,16:30:00,18:00:00,D - Slot - N
D,Slot - N,2025-08-15,16:30:00,18:00:00,CSE265.14,Algorithm,30,[SHM] Md. Shamim,Md. Shamim,SHM,16:30:00,18:00:00,D - Slot - N
D,Slot - N,2025-08-15,16:30:00,18:00:00,CSE281.18,Introduction to Programming Language II (Java),34,[MOHO] Mosarrof Hossain,Mosarrof Hossain,MOHO,16:30:00,18:00:00,D - Slot - N
D,Slot - N,2025-08-15,16:30:00,18:00:00,CSE3011.1,Database Design,1,[RFD] Rifat Ahommed,Rifat Ahommed,RFD,16:30:00,18:00:00,D - Slot - N
D,Slot - N,2025-08-15,16:30:00,18:00:00,CSE349.1,Mathematical Analysis for Computer Science (theory),31,[DMOS] Dr. Mohammad Shafiul Alam,Dr. Mohammad Shafiul Alam,DMOS,16:30:00,18:00:00,D - Slot - N
D,Slot - N,2025-08-15,16:30:00,18:00:00,CSE383.6,Database Design,30,[RFD] Rifat Ahommed,Rifat Ahommed,RFD,16:30:00,18:00:00,D - Slot - N
D,Slot - N,2025-08-15,16:30:00,18:00:00,EEE241.16,Electronic Devices & Circuits I,37,[SADS] Md. Sadman Amir,Md. Sadman Amir,SADS,16:30:00,18:00:00,D - Slot - N
D,Slot - O,2025-08-15,19:00:00,20:30:00,CSE241.20,Data Structures,31,[RIM] Md. Robiul Islam,Md. Robiul Islam,RIM,19:00:00,20:30:00,D - Slot - O
D,Slot - O,2025-08-15,19:00:00,20:30:00,CSE351.2,Advanced Java,26,[IMUD] Iftekher Mahmud,Iftekher Mahmud,IMUD,19:00:00,20:30:00,D - Slot - O
D,Slot - O,2025-08-15,19:00:00,20:30:00,CSE363.6,Microprocessor Design & Assembly Language Programming,36,[DSAK] Prof. Dr. Shamim Akhter,Prof. Dr. Shamim Akhter,DSAK,19:00:00,20:30:00,D - Slot - O
D,Slot - O,2025-08-15,19:00:00,20:30:00,CSE4047.1,Advanced Java,1,[IMUD] Iftekher Mahmud,Iftekher Mahmud,IMUD,19:00:00,20:30:00,D - Slot - O
D,Slot - O,2025-08-15,19:00:00,20:30:00,CSE475.4,Management Information System,41,[MDSR] Mohammad Shohel Rana,Mohammad Shohel Rana,MDSR,19:00:00,20:30:00,D - Slot - O
D,Slot - O,2025-08-15,19:00:00,20:30:00,MAT261.11,Linear Algebra and Matrices,28,[GKS] Goutam Kumar Saha,Goutam Kumar Saha,GKS,19:00:00,20:30:00,D - Slot - O
D,Slot - O,2025-08-15,19:00:00,20:30:00,MGT281.15,Introduction to Business & Management,46,[ASNA] Abu Sayeed Nooruddin Ahmed,Abu Sayeed Nooruddin Ahmed,ASNA,19:00:00,20:30:00,D - Slot - O
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE161.7,Programming Language I,33,[NI] Md. Nazrul Islam,Md. Nazrul Islam,NI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE161.8,Programming Language I,33,[NI] Md. Nazrul Islam,Md. Nazrul Islam,NI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE161.9,Programming Language I,34,[NI] Md. Nazrul Islam,Md. Nazrul Islam,NI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE3015.1,Computer Architecture,1,[GZI] Dr. Gazi Zahirul Islam,Dr. Gazi Zahirul Islam,GZI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE343.2,Computer Architecture,40,[GZI] Dr. Gazi Zahirul Islam,Dr. Gazi Zahirul Islam,GZI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE343.3,Computer Architecture,40,[GZI] Dr. Gazi Zahirul Islam,Dr. Gazi Zahirul Islam,GZI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE343.4,Computer Architecture,40,[GZI] Dr. Gazi Zahirul Islam,Dr. Gazi Zahirul Islam,GZI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE343.5,Computer Architecture,40,[MAIM] Maisha Muntaha,Maisha Muntaha,MAIM,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE343.6,Computer Architecture,41,[MAIM] Maisha Muntaha,Maisha Muntaha,MAIM,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE343.11,Computer Architecture,40,[MAIM] Maisha Muntaha,Maisha Muntaha,MAIM,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE375.2,Advanced Algorithm,37,[DTBI] Md. Tauhid Bin Iqbal,Md. Tauhid Bin Iqbal,DTBI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,CSE375.3,Advanced Algorithm,38,[DTBI] Md. Tauhid Bin Iqbal,Md. Tauhid Bin Iqbal,DTBI,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,EEE181.3,Electrical Circuits Design I,37,[MDHB] Mahdin Mahboob,Mahdin Mahboob,MDHB,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,EEE181.4,Electrical Circuits Design I,40,[MDHB] Mahdin Mahboob,Mahdin Mahboob,MDHB,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,EEE241.8,Electronic Devices & Circuits I,40,[AIM] Ashraful Islam Mridha,Ashraful Islam Mridha,AIM,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,MAT141.8,Differential & Integral Calculus,38,[MTK] Md. Tamim Khandakar,Md. Tamim Khandakar,MTK,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,MAT141.9,Differential & Integral Calculus,39,[MTK] Md. Tamim Khandakar,Md. Tamim Khandakar,MTK,09:30:00,11:00:00,C - Slot - 01
C,Slot - 01,2025-08-17,09:30:00,11:00:00,MAT141.10,Differential & Integral Calculus,40,[MTK] Md. Tamim Khandakar,Md. Tamim Khandakar,MTK,09:30:00,11:00:00,C - Slot - 01
C,Slot - 02,2025-08-17,12:00:00,13:30:00,CSE161.10,Programming Language I,33,[MAQ] Mohammad Ariful Huq,Mohammad Ariful Huq,MAQ,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,CSE161.11,Programming Language I,27,[MAQ] Mohammad Ariful Huq,Mohammad Ariful Huq,MAQ,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE181.13,Electrical Circuits Design I,39,[MAMA] Mayukh Mallick,Mayukh Mallick,MAMA,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.2,Electronic Devices & Circuits I,40,[JHT] Jahid Hasan Tushar,Jahid Hasan Tushar,JHT,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.3,Electronic Devices & Circuits I,40,[JHT] Jahid Hasan Tushar,Jahid Hasan Tushar,JHT,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.6,Electronic Devices & Circuits I,27,[MDHB] Mahdin Mahboob,Mahdin Mahboob,MDHB,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.7,Electronic Devices & Circuits I,34,[MDHB] Mahdin Mahboob,Mahdin Mahboob,MDHB,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.11,Electronic Devices & Circuits I,39,[ASH] Ahnaf Shahriyar,Ahnaf Shahriyar,ASH,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.12,Electronic Devices & Circuits I,40,[ASH] Ahnaf Shahriyar,Ahnaf Shahriyar,ASH,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,EEE241.14,Electronic Devices & Circuits I,34,[MTM] Md. Tanzid Mia,Md. Tanzid Mia,MTM,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,ETE281.5,Communication Theory,36,[TANA] Tanvir Ahmed,Tanvir Ahmed,TANA,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,ETE281.7,Communication Theory,35,[BIPA] Bidyarthi Paul,Bidyarthi Paul,BIPA,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,ETE281.8,Communication Theory,16,[BIPA] Bidyarthi Paul,Bidyarthi Paul,BIPA,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,ETE281.12,Communication Theory,31,[ALL] AL Faysal,AL Faysal,ALL,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,ETE281.13,Communication Theory,17,[ALL] AL Faysal,AL Faysal,ALL,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,MAT141.7,Differential & Integral Calculus,39,[MKP] Mrityunjoy Kumar Pandit,Mrityunjoy Kumar Pandit,MKP,12:00:00,13:30:00,C - Slot - 02
C,Slot - 02,2025-08-17,12:00:00,13:30:00,MAT141.14,Differential & Integral Calculus,38,[MKP] Mrityunjoy Kumar Pandit,Mrityunjoy Kumar Pandit,MKP,12:00:00,13:30:00,C - Slot - 02
C,Slot - 03,2025-08-17,14:30:00,16:00:00,CSE141.11,Computer Fundamentals,38,[MRAI] Md. Rashedul Islam,Md. Rashedul Islam,MRAI,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,CSE141.13,Computer Fundamentals,39,[MRAI] Md. Rashedul Islam,Md. Rashedul Islam,MRAI,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,CSE4033.1,Web and Internet Programming,3,[ABAH] Abid Ahmad,Abid Ahmad,ABAH,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,CSE471.2,Web and Internet Programming,38,[ABAH] Abid Ahmad,Abid Ahmad,ABAH,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,CSE471.3,Web and Internet Programming,31,[ABAH] Abid Ahmad,Abid Ahmad,ABAH,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,EEE181.9,Electrical Circuits Design I,40,[SAAN] Sadribul Hassan,Sadribul Hassan,SAAN,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,EEE181.10,Electrical Circuits Design I,43,[IHS] Imran Hossain Sabuj,Imran Hossain Sabuj,IHS,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,EEE181.11,Electrical Circuits Design I,38,[IHS] Imran Hossain Sabuj,Imran Hossain Sabuj,IHS,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,EEE181.12,Electrical Circuits Design I,39,[ALA] Abdullah Saleh,Abdullah Saleh,ALA,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,EEE241.9,Electronic Devices & Circuits I,38,[KDZN] Khondokar Zahin,Khondokar Zahin,KDZN,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,EEE241.10,Electronic Devices & Circuits I,39,[KDZN] Khondokar Zahin,Khondokar Zahin,KDZN,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,MAT261.2,Linear Algebra and Matrices,40,[SBB] Md. Shohel Babu,Md. Shohel Babu,SBB,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,MAT261.3,Linear Algebra and Matrices,40,[SBB] Md. Shohel Babu,Md. Shohel Babu,SBB,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,MAT261.4,Linear Algebra and Matrices,39,[SBB] Md. Shohel Babu,Md. Shohel Babu,SBB,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,MAT261.5,Linear Algebra and Matrices,40,[SBB] Md. Shohel Babu,Md. Shohel Babu,SBB,14:30:00,16:00:00,C - Slot - 03
C,Slot - 03,2025-08-17,14:30:00,16:00:00,MAT261.6,Linear Algebra and Matrices,41,[SBB] Md. Shohel Babu,Md. Shohel Babu,SBB,14:30:00,16:00:00,C - Slot - 03
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.22,Basic English Skills,39,[SHMS] Sharif Mohammad Shahidullah,Sharif Mohammad Shahidullah,SHMS,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.23,Basic English Skills,39,[SHMS] Sharif Mohammad Shahidullah,Sharif Mohammad Shahidullah,SHMS,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.24,Basic English Skills,38,[TDS] Tripti Das,Tripti Das,TDS,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.25,Basic English Skills,39,[MFR] Md. Fozle Rabbi,Md. Fozle Rabbi,MFR,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.26,Basic English Skills,38,[SAIS] Sadia Islam,Sadia Islam,SAIS,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.27,Basic English Skills,36,[DAFN] Dewan Abul Fatah Naeem,Dewan Abul Fatah Naeem,DAFN,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.28,Basic English Skills,38,[RCL] Rasna Choudhury Liz,Rasna Choudhury Liz,RCL,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.29,Basic English Skills,37,[TAAM] Tazin Akhanda Meem,Tazin Akhanda Meem,TAAM,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.30,Basic English Skills,37,[STM] Sadia Tasnuva Moume,Sadia Tasnuva Moume,STM,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.31,Basic English Skills,40,[SAIS] Sadia Islam,Sadia Islam,SAIS,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.32,Basic English Skills,38,[SAIS] Sadia Islam,Sadia Islam,SAIS,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.33,Basic English Skills,38,[DAFN] Dewan Abul Fatah Naeem,Dewan Abul Fatah Naeem,DAFN,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.34,Basic English Skills,38,[RCL] Rasna Choudhury Liz,Rasna Choudhury Liz,RCL,09:30:00,11:00:00,C - Slot - 04
C,Slot - 04,2025-08-18,09:30:00,11:00:00,ENG101.35,Basic English Skills,38,[MSW] Maeesha Wajid,Maeesha Wajid,MSW,09:30:00,11:00:00,C - Slot - 04
